#threads iterations seconds(CG) seconds(LF) seconds(LL)
1 1024 0.001028 0.001533 0.001307
1 2048 0.002449 0.003470 0.002808
1 4096 0.007529 0.008482 0.008883
1 8192 0.031178 0.025027 0.027890
1 16384 0.080997 0.092475 0.094409
1 32768 0.334332 0.413159 0.290348
1 65536 0.880887 0.997848 0.936164
1 131072 2.397844 3.038672 2.612801

2 1024 0.002768 0.001935 0.002231
2 2048 0.006411 0.003795 0.003469
2 4096 0.019911 0.016299 0.014649
2 8192 0.073468 0.048175 0.044053
2 16384 0.259128 0.157908 0.149012
2 32768 0.951540 0.623457 0.509171
2 65536 2.350222 1.490894 1.243485
2 131072 5.467057 3.411572 3.109369

4 1024 0.005317 0.006063 0.003312
4 2048 0.018364 0.013634 0.010953
4 4096 0.070184 0.039649 0.041215
4 8192 0.256997 0.135222 0.113651
4 16384 0.818275 0.459396 0.317394
4 32768 2.148420 1.050602 0.791173
4 65536 4.921591 2.329171 2.366498
4 131072 10.671763 5.438046 4.072989

6 1024 0.010982 0.017190 0.010891
6 2048 0.051262 0.052614 0.017433
6 4096 0.143317 0.083064 0.070518
6 8192 0.499725 0.243427 0.222785
6 16384 1.389290 0.770469 0.846637
6 32768 5.035650 1.750056 1.690132
6 65536 9.009259 4.344567 3.249216
6 131072 15.363102 8.123718 6.159623

8 1024 0.021282 0.012992 0.024122
8 2048 0.077387 0.030663 0.033987
8 4096 0.287315 0.114005 0.106436
8 8192 0.732021 0.418187 0.316034
8 16384 1.975920 1.123695 0.817439
8 32768 4.582358 2.416406 1.898349
8 65536 9.747816 5.218189 3.992586
8 131072 19.719790 11.152170 10.078565

12 1024 0.060455 0.033416 0.026036
12 2048 0.171890 0.094234 0.076987
12 4096 0.509270 0.270897 0.241092
12 8192 1.390106 1.239417 0.691184
12 16384 3.280085 2.208130 1.665649
12 32768 7.975712 4.798775 3.847106
12 65536 16.076248 9.562919 7.883717
12 131072 36.744688 20.694473 15.936199

16 1024 0.079041 0.038033 0.038984
16 2048 0.301389 0.158520 0.140071
16 4096 0.848907 0.418298 0.432626
16 8192 2.194517 1.486173 0.988649
16 16384 5.073794 3.047468 2.307086
16 32768 10.653161 6.905764 4.972960
16 65536 21.560121 13.731910 10.714347
16 131072 45.525193 31.098668 23.722599

20 1024 0.113225 0.063282 0.089121
20 2048 0.392629 0.237181 0.226648
20 4096 1.680918 0.932984 0.675446
20 8192 3.059519 2.038909 1.295643
20 16384 6.738687 4.343658 3.317734
20 32768 13.130259 9.243129 7.991643
20 65536 27.613174 17.502569 15.196103
20 131072 53.923984 40.285986 27.886065

24 1024 0.159407 0.096980 0.078062
24 2048 0.583374 0.346797 0.275282
24 4096 1.538699 1.082035 0.853274
24 8192 3.613865 2.370141 1.805575
24 16384 7.794054 4.841472 3.637478
24 32768 14.554124 10.834688 6.814791
24 65536 26.899729 17.601220 13.268889
24 131072 53.945516 35.827827 26.765034

28 1024 0.224698 0.128584 0.100006
28 2048 0.569846 0.310559 0.260049
28 4096 1.528281 0.890267 0.769999
28 8192 3.565224 2.487946 1.613876
28 16384 7.382776 5.044230 3.500462
28 32768 15.206024 9.685913 7.817228
28 65536 31.377414 19.663952 17.639239
28 131072 63.800831 44.134977 30.051489

32 1024 0.245398 0.109158 0.101861
32 2048 0.725822 0.449886 0.288964
32 4096 2.220709 1.346405 1.065407
32 8192 4.410908 2.254248 1.731089
32 16384 7.982196 4.954572 3.755375
32 32768 16.474641 10.011001 8.081827
32 65536 34.598921 21.211478 16.135431
32 131072 85.778857 59.716506 44.283825

