#threads iterations seconds(CG) seconds(LF) seconds(LL)
1 1024 0.000908 0.000808 0.000889
1 2048 0.002000 0.001979 0.001855
1 4096 0.004920 0.004573 0.005368
1 8192 0.015577 0.013186 0.012752
1 16384 0.040525 0.042982 0.047115
1 32768 0.136054 0.158125 0.146801
1 65536 0.435723 0.496342 0.465357
1 131072 3.123006 1.378817 1.191510
1 262144 2.827988 3.250201 3.077146

2 1024 0.001332 0.001601 0.002043
2 2048 0.005881 0.002980 0.002766
2 4096 0.012299 0.010770 0.007637
2 8192 0.041970 0.027682 0.038585
2 16384 0.147808 0.101354 0.092026
2 32768 0.453252 0.275103 0.236651
2 65536 1.316578 1.078889 1.058945
2 131072 3.705004 2.121940 1.488945
2 262144 6.062275 4.179340 3.199366

4 1024 0.003887 0.002803 0.002553
4 2048 0.013035 0.006580 0.007786
4 4096 0.035936 0.017241 0.020107
4 8192 0.124702 0.061295 0.064022
4 16384 0.434951 0.199969 0.174208
4 32768 1.221811 0.786776 0.614647
4 65536 2.668805 1.551418 1.033400
4 131072 4.732344 2.855966 2.187678
4 262144 9.892782 5.704421 4.314656

6 1024 0.010362 0.005422 0.004548
6 2048 0.021550 0.013608 0.012408
6 4096 0.076984 0.050293 0.051783
6 8192 0.245688 0.133133 0.102016
6 16384 0.596405 0.529565 0.376633
6 32768 1.556419 0.924817 0.748021
6 65536 3.222492 2.000102 1.470812
6 131072 6.639737 4.246250 3.084469
6 262144 12.930420 9.282350 7.041925

8 1024 0.012188 0.008683 0.006512
8 2048 0.032912 0.023612 0.028999
8 4096 0.109671 0.064463 0.065087
8 8192 0.352410 0.265362 0.259288
8 16384 0.876739 0.545892 0.459734
8 32768 2.105103 1.464064 1.094642
8 65536 4.115153 2.750737 2.032475
8 131072 8.334687 5.422805 4.170011
8 262144 17.534343 11.702351 9.883103

12 1024 0.021918 0.014173 0.015838
12 2048 0.063781 0.057305 0.036580
12 4096 0.212481 0.122322 0.125279
12 8192 0.594282 0.404295 0.325134
12 16384 1.356046 0.986616 0.727316
12 32768 2.643082 2.007494 1.563855
12 65536 6.049568 4.165771 3.043014
12 131072 12.693465 8.534682 6.801610
12 262144 23.960535 20.511977 15.566916

16 1024 0.035407 0.030992 0.026835
16 2048 0.105020 0.120062 0.068195
16 4096 0.254786 0.268414 0.190331
16 8192 0.812302 0.554492 0.467191
16 16384 1.432191 1.267109 0.978362
16 32768 3.765042 2.920671 2.045498
16 65536 6.690469 6.588158 4.349993
16 131072 15.152155 12.514670 9.017397
16 262144 29.184406 24.706059 20.124224

20 1024 0.047749 0.058877 0.060128
20 2048 0.209213 0.108744 0.096316
20 4096 0.476720 0.355369 0.233952
20 8192 1.030161 0.697569 0.712521
20 16384 2.188606 1.720200 1.285650
20 32768 4.110341 3.575053 2.763218
20 65536 8.652853 8.476179 5.702593
20 131072 16.938310 15.281362 11.158522
20 262144 37.631718 39.657118 23.141634

24 1024 0.056920 0.038388 0.041450
24 2048 0.191475 0.136024 0.131975
24 4096 0.492546 0.412218 0.326781
24 8192 1.103495 0.971800 0.707828
24 16384 2.206359 2.217256 1.547080
24 32768 4.728426 4.553083 3.353644
24 65536 10.011371 10.447823 11.858947
24 131072 21.560710 19.398379 13.528771
24 262144 40.285412 38.528073 30.336857

28 1024 0.081655 0.068095 0.049727
28 2048 0.209170 0.294913 0.237509
28 4096 0.548311 0.467956 0.382710
28 8192 1.298421 1.185183 0.853838
28 16384 2.609221 3.034415 1.887166
28 32768 5.461409 5.496663 3.801765
28 65536 12.237175 11.112785 8.118288
28 131072 22.330951 23.095126 16.748293
28 262144 46.607239 47.003781 38.740619

32 1024 0.142932 0.211305 0.108875
32 2048 0.408360 0.358047 0.214071
32 4096 0.633987 0.643273 0.441955
32 8192 1.402232 1.822927 1.270450
32 16384 4.335105 3.898710 2.155384
32 32768 6.460137 8.725881 4.778659
32 65536 13.161744 12.525129 9.083657
32 131072 25.315003 26.723333 19.652934
32 262144 56.149718 59.439829 38.303538

